StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,Editing_Index_Unknown,SRR8611856,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611856/SRR8611856.Aligned.sortedByCoord.out.bam,0.010988286,0.112776134,0.017713763,0.019751568,0.008717415,0.043872245
StrandedData,Editing_Index_Unknown,SRR8611823,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611823/SRR8611823.Aligned.sortedByCoord.out.bam,0.006869501,0.077942842,0.011618719,0.014139842,0.004713725,0.03801671
StrandedData,Editing_Index_Unknown,SRR8611806,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611806/SRR8611806.Aligned.sortedByCoord.out.bam,0.00711159,0.086195528,0.011011607,0.011267523,0.005226818,0.032506008
StrandedData,Editing_Index_Unknown,SRR8611828,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611828/SRR8611828.Aligned.sortedByCoord.out.bam,0.006567363,0.095886607,0.012975263,0.014678878,0.003933978,0.037504124
StrandedData,Editing_Index_Unknown,SRR8611807,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611807/SRR8611807.Aligned.sortedByCoord.out.bam,0.007266249,0.076972497,0.010741039,0.011837571,0.004999316,0.029568687
StrandedData,Editing_Index_Unknown,SRR8611857,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611857/SRR8611857.Aligned.sortedByCoord.out.bam,0.008067647,0.085287448,0.011691818,0.015881987,0.00839709,0.038804935
StrandedData,Editing_Index_Unknown,SRR8611861,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611861/SRR8611861.Aligned.sortedByCoord.out.bam,0.014032305,0.12436401,0.020717455,0.021279522,0.01236623,0.052080439
StrandedData,Editing_Index_Unknown,SRR8611837,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611837/SRR8611837.Aligned.sortedByCoord.out.bam,0.007634034,0.097933733,0.012920859,0.015912276,0.005506221,0.040820729
StrandedData,Editing_Index_Unknown,SRR8611870,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611870/SRR8611870.Aligned.sortedByCoord.out.bam,0.009382837,0.100265311,0.012480557,0.015812194,0.010017965,0.041473902
StrandedData,Editing_Index_Unknown,SRR8611850,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611850/SRR8611850.Aligned.sortedByCoord.out.bam,0.009854018,0.11046693,0.015209212,0.017460178,0.007932361,0.048506128
