Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
SRR8611823,0.003784247,0.127245698,0.01009069,0.007885813,0,0.019712202
SRR8611824,0.002353901,0.182490327,0.008630429,0.006491557,0.000811491,0.01703854
SRR8611825,0.001838911,0.145065922,0.004290688,0.008952551,0.000639521,0.018542792
SRR8611826,0.002041413,0.190173465,0.002721866,0.009256556,0.00213628,0.024205835
SRR8611827,0.003619359,0.1662198,0.003619359,0.007582248,0.002274795,0.015163347
SRR8611828,0.001935902,0.220211132,0.002903825,0.005993168,0.000998911,0.013982941
SRR8611829,0.002372958,0.194209249,0.003559394,0.014930573,0.001244385,0.023638015
SRR8611830,0.003400667,0.237489398,0.001700362,0.003501646,0,0.017505777
SRR8611831,0,0.227760907,0.007423216,0.011405543,0.003802137,0.013306214
SRR8611832,0.001685232,0.161523707,0.003370408,0.005312085,0,0.026554783
SRR8611833,0.00529446,0.25525922,0.01058836,0.012724959,0.00181805,0.010907306
SRR8611834,0.000527847,0.22803756,0.002111353,0.007597258,0.003256109,0.027127766
SRR8611835,0.00211015,0.269377276,0.00211015,0.008741259,0,0.026219192
SRR8611836,0.0031346,0.209584585,0.002089755,0.002130357,0.00106519,0.022364217
SRR8611837,0.002149013,0.171629623,0.002149013,0.00664599,0.002215428,0.028792913
SRR8611838,0.002984986,0.246158733,0.003979941,0.011226896,0.001020731,0.033673126
SRR8611839,0.003257223,0.476545531,0.001628638,0.015235387,0,0.03215815
SRR8611840,0.003170426,0.254577654,0.003170426,0.009681323,0,0.020973831
SRR8611841,0.001287084,0.184999615,0.009008893,0.002007293,0.002007293,0.014718279
SRR8611842,0.00384793,0.236098048,0.001924002,0.007888146,0,0.013803439
SRR8611843,0.002095305,0.202836575,0.006285651,0.005875158,0.001068262,0.028301232
SRR8611844,0.005547291,0.193287293,0.003530165,0.007297558,0.004170164,0.036477142
SRR8611845,0,0.326366058,0,0.007427765,0,0.024754926
SRR8611846,0.003499195,0.240871326,0.006998145,0.008853475,0.00177082,0.014164808
SRR8611847,0.006241937,0.18691977,0.002080732,0.023905248,0,0.013040643
SRR8611848,0.000908154,0.217032768,0.004086562,0.007852811,0,0.032788854
SRR8611849,0.006758051,0.18775859,0.003754585,0.00931236,0.00504441,0.025992668
SRR8611850,0.00208679,0.329672615,0.003130152,0.003240616,0.001080229,0.024839354
SRR8611851,0.002753936,0.216180566,0.001835974,0.014108485,0.002822015,0.035733765
SRR8611852,0.005162889,0.235229478,0,0.005385706,0.003590535,0.017950099
SRR8611853,0.002985387,0.172858271,0.002985387,0.004608153,0.001536098,0.023036521
SRR8611854,0.002733585,0.215191293,0.004555892,0.005358719,0.003467472,0.023006908
SRR8611855,0.006714226,0.297912936,0.005035754,0.01559765,0.003466565,0.032922666
SRR8611856,0,0.29134533,0.013366686,0.009941346,0.005965045,0.015905205
SRR8611857,0.004639151,0.185230921,0.003092815,0.011183538,0.011183538,0.022364575
SRR8611858,0.007029548,0.133392619,0,0.007265154,0.004843553,0.021792295
SRR8611859,0.004664832,0.207938922,0.003109936,0.00638896,0.001597317,0.025550942
SRR8611860,0.002756264,0.225510148,0.001378151,0.011156979,0,0.02928176
SRR8611861,0.01200144,0.23350963,0.01600128,0.014492154,0.008281745,0.006211437
SRR8611862,0.003703292,0.138422198,0.005290334,0.008693195,0.006520038,0.01792806
SRR8611863,0.012691787,0.229364253,0.005641192,0.013007284,0.005781433,0.011562197
SRR8611864,0.00518472,0.177127543,0.007488868,0.007097862,0.009463592,0.015968772
SRR8611865,0.007094894,0.116431526,0.005574644,0.012522436,0.008348639,0.027127981
SRR8611866,0.006523765,0.123806155,0.000932019,0.011463617,0.004776827,0.018149514
SRR8611867,0.008822161,0.129769219,0.004812281,0.012287729,0.008192155,0.031123051
SRR8611868,0.010625299,0.215252153,0.00850042,0.007659565,0.010941877,0.030631222
SRR8611869,0.006021557,0.120293516,0,0.012268433,0.012268433,0.061312078
SRR8611870,0.002095821,0.214017819,0.004191554,0.004297348,0.005013537,0.022914921
SRR8611871,0.004364239,0.238020943,0.001454789,0.006623784,0.006623784,0.03163905
SRR8611872,0.005390683,0.16797249,0.004539561,0.01201909,0.005863332,0.020225589
SRR8611873,0.004175784,0.164262486,0.003340655,0.01034144,0.000861868,0.029295192
SRR8611874,0.003544214,0.213973722,0.001772138,0.001816266,0.001816266,0.016344024
SRR8611875,0.004319729,0.140631201,0,0.01256552,0.002692877,0.025127883
SRR8611876,0.002841636,0.243791813,0.00568311,0,0,0.026108903
SRR8611877,0.005591872,0.141840011,0.006710171,0.013290265,0.001155815,0.023111234
SRR8611878,0.002288434,0.248824362,0.005720889,0.008209122,0.001172814,0.042203986
SRR8611879,0.005061049,0.154131871,0.005061049,0.010271818,0,0.017974297
SRR8611880,0.0076626,0.123989713,0.006130174,0.007970922,0.001594286,0.023908955
SRR8611881,0.004759147,0.229508456,0.005552295,0.008075392,0.003230313,0.029065308
SRR8611882,0.00280891,0.15565621,0.004213306,0.006461896,0.00071803,0.027277883
SRR8611883,0.003330669,0.221007328,0.003330669,0.010239607,0,0.018771011
SRR8611884,0.005452206,0.169829191,0.002180954,0.011305056,0.001130621,0.032777621
SRR8611885,0,0.177317667,0.010764456,0.009288156,0.001857769,0.031572691
SRR8611886,0,0.280672694,0.011534025,0,0,0.009541985
SRR8611887,0,0.149755936,0.003796832,0.009875275,0.004937881,0.020735826
SRR8611888,0.002265858,0.188620357,0.005437886,0.01025058,0.003261776,0.026553991
SRR8611889,0.011172092,0.292442452,0.011172092,0.001445108,0.001445108,0.02311671
SRR8611890,0.001575051,0.254512891,0.017322835,0.006506816,0.006506816,0.029274005
SRR8611891,0.00197334,0.201863048,0.005919787,0.009150154,0.008133553,0.02439669
SRR8611892,0.002096502,0.162218734,0.00314472,0.006456542,0,0.011836357
SRR8611893,0.003885105,0.224838155,0.005180072,0.009329726,0.001332925,0.023987207
SRR8611894,0.003618512,0.289855072,0.004824625,0.009905894,0.00371494,0.029711796
SRR8611895,0,0.201064596,0.0069869,0.002361972,0.003542917,0.028336305
SRR8611896,0.002945335,0.133837307,0.004417937,0.010694043,0,0.024440167
