Sample,A2GEditingIndex,Phase,treatment,zt
SRR8611860,0.098847751,Rest phase (ZT3),Sedentary,12
SRR8611861,0.12436401,Rest phase (ZT3),Exercise,16
SRR8611862,0.083590742,Rest phase (ZT3),Sedentary,16
SRR8611863,0.123239329,Rest phase (ZT3),Exercise,16
SRR8611864,0.091375251,Rest phase (ZT3),Sedentary,16
SRR8611865,0.062708971,Rest phase (ZT3),Exercise,20
SRR8611866,0.07305701,Rest phase (ZT3),Sedentary,20
SRR8611867,0.07606037,Rest phase (ZT3),Exercise,20
SRR8611868,0.092791202,Rest phase (ZT3),Sedentary,20
SRR8611869,0.076465742,Rest phase (ZT3),Exercise,0
SRR8611870,0.100265311,Rest phase (ZT3),Sedentary,0
SRR8611871,0.092016947,Rest phase (ZT3),Exercise,0
SRR8611872,0.069900605,Rest phase (ZT3),Sedentary,0
SRR8611873,0.084271585,Active phase (ZT15),Exercise,16
SRR8611874,0.08884162,Active phase (ZT15),Sedentary,16
SRR8611875,0.073080581,Active phase (ZT15),Exercise,16
SRR8611876,0.128951137,Active phase (ZT15),Sedentary,16
SRR8611877,0.06284029,Active phase (ZT15),Exercise,20
SRR8611878,0.096769798,Active phase (ZT15),Sedentary,20
SRR8611879,0.084129823,Active phase (ZT15),Exercise,20
SRR8611880,0.074287231,Active phase (ZT15),Sedentary,20
SRR8611881,0.103530075,Active phase (ZT15),Exercise,0
SRR8611882,0.072844235,Active phase (ZT15),Sedentary,0
SRR8611883,0.096331224,Active phase (ZT15),Exercise,0
SRR8611884,0.087232843,Active phase (ZT15),Sedentary,0
SRR8611885,0.097699712,Active phase (ZT15),Exercise,4
SRR8611886,0.0975696,Active phase (ZT15),Sedentary,4
SRR8611887,0.073750132,Active phase (ZT15),Exercise,4
SRR8611888,0.071499876,Active phase (ZT15),Sedentary,4
SRR8611889,0.108445856,Active phase (ZT15),Exercise,8
SRR8611890,0.103132065,Active phase (ZT15),Sedentary,8
SRR8611891,0.088679447,Active phase (ZT15),Exercise,8
SRR8611892,0.078352906,Active phase (ZT15),Sedentary,8
SRR8611893,0.09432194,Active phase (ZT15),Exercise,12
SRR8611894,0.142354172,Active phase (ZT15),Sedentary,12
SRR8611895,0.094116899,Active phase (ZT15),Exercise,12
SRR8611896,0.087882786,Active phase (ZT15),Sedentary,12
