Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex,Phase,treatment,zt
SRR8611809,0.009533728,0.134393732,0.018838709,0.01787374,0.007883565,0.046870597,Rest phase (ZT3),Exercise,8
SRR8611810,0.010413028,0.128046662,0.015963459,0.016398416,0.009722073,0.050492667,Rest phase (ZT3),Sedentary,8
SRR8611811,0.009122379,0.109746178,0.011693812,0.013797994,0.007009369,0.038844443,Rest phase (ZT3),Exercise,8
SRR8611812,0.008605921,0.108259009,0.01388314,0.016880415,0.0055391,0.037092312,Rest phase (ZT3),Sedentary,8
SRR8611813,0.007875012,0.074210524,0.010401974,0.012242064,0.006109923,0.032654148,Rest phase (ZT3),Exercise,12
SRR8611814,0.007579566,0.0898722,0.013935736,0.014932022,0.006564417,0.036482264,Rest phase (ZT3),Exercise,12
SRR8611815,0.009323679,0.086548184,0.014879004,0.015800107,0.007164883,0.035891559,Rest phase (ZT3),Sedentary,12
SRR8611816,0.006822377,0.08221709,0.011528011,0.015116145,0.005705351,0.041727499,Rest phase (ZT3),Exercise,16
SRR8611817,0.009308124,0.100464277,0.01579458,0.014370377,0.004836646,0.03881816,Rest phase (ZT3),Sedentary,16
SRR8611818,0.011527211,0.162735491,0.017183112,0.020721027,0.007412947,0.048786213,Rest phase (ZT3),Exercise,16
SRR8611819,0.006957794,0.092993522,0.015662413,0.015644478,0.005796139,0.03824921,Rest phase (ZT3),Sedentary,16
SRR8611820,0.005973072,0.071883138,0.011968489,0.012660327,0.004929032,0.033465819,Rest phase (ZT3),Exercise,20
SRR8611821,0.007013383,0.079128881,0.011634067,0.014066116,0.005029989,0.036497389,Rest phase (ZT3),Sedentary,20
SRR8611822,0.004962538,0.068556165,0.008836691,0.010728497,0.003899094,0.029195479,Rest phase (ZT3),Exercise,20
SRR8611823,0.006869501,0.077942842,0.011618719,0.014139842,0.004713725,0.03801671,Rest phase (ZT3),Sedentary,20
SRR8611824,0.006820449,0.082756842,0.011533652,0.012152454,0.004764971,0.034656136,Rest phase (ZT3),Exercise,0
SRR8611825,0.00696808,0.085205156,0.011496811,0.012110643,0.005511262,0.033791364,Rest phase (ZT3),Sedentary,0
SRR8611826,0.007215149,0.080784667,0.01127783,0.013255425,0.004410512,0.037827546,Rest phase (ZT3),Exercise,0
SRR8611827,0.006035841,0.064234869,0.00895919,0.014080161,0.004054522,0.031432146,Rest phase (ZT3),Sedentary,0
SRR8611828,0.006567363,0.095886607,0.012975263,0.014678878,0.003933978,0.037504124,Active phase (ZT15),Exercise,16
SRR8611829,0.009342245,0.097556702,0.017208044,0.019616879,0.007435997,0.04909073,Active phase (ZT15),Sedentary,16
SRR8611830,0.008489533,0.086673056,0.014763479,0.017219022,0.007334753,0.043301981,Active phase (ZT15),Exercise,16
SRR8611831,0.008163088,0.11791716,0.015476931,0.016283103,0.005999655,0.040965457,Active phase (ZT15),Sedentary,16
SRR8611832,0.009457839,0.073124239,0.013648166,0.015084806,0.007024789,0.043227102,Active phase (ZT15),Sedentary,20
SRR8611833,0.011693847,0.102731586,0.015949549,0.017812465,0.007785148,0.047562066,Active phase (ZT15),Exercise,20
SRR8611834,0.005265489,0.067428587,0.008569042,0.010821129,0.002854344,0.02605079,Active phase (ZT15),Sedentary,20
SRR8611835,0.01083931,0.155955501,0.016338159,0.018762654,0.006398372,0.056857663,Active phase (ZT15),Sedentary,0
SRR8611836,0.007868095,0.105844163,0.014175243,0.014247545,0.004749633,0.037506392,Active phase (ZT15),Exercise,0
SRR8611837,0.007634034,0.097933733,0.012920859,0.015912276,0.005506221,0.040820729,Active phase (ZT15),Sedentary,0
SRR8611838,0.006148318,0.087728641,0.011778824,0.013767598,0.00363874,0.038179024,Active phase (ZT15),Exercise,4
SRR8611839,0.010236373,0.160609945,0.017313085,0.019821452,0.006414819,0.054847177,Active phase (ZT15),Sedentary,4
SRR8611840,0.00710113,0.099066394,0.013641884,0.014569464,0.007154399,0.044349495,Active phase (ZT15),Exercise,4
SRR8611841,0.007645104,0.092489697,0.01275344,0.015777237,0.004342512,0.034299309,Active phase (ZT15),Sedentary,4
SRR8611842,0.009496317,0.112308548,0.017102281,0.018063004,0.005176313,0.048636195,Active phase (ZT15),Exercise,8
SRR8611843,0.005774228,0.070559132,0.008939816,0.011624103,0.003693367,0.032887602,Active phase (ZT15),Sedentary,8
SRR8611844,0.005056527,0.077844801,0.009260223,0.011775106,0.003145542,0.030680242,Active phase (ZT15),Exercise,8
SRR8611845,0.010082474,0.115670257,0.016889592,0.017321053,0.005249438,0.050476748,Active phase (ZT15),Exercise,12
SRR8611846,0.010081361,0.110371739,0.014388232,0.014400195,0.005927271,0.049480409,Active phase (ZT15),Sedentary,12
SRR8611847,0.009243366,0.108159695,0.014461354,0.020078269,0.005673153,0.047436558,Active phase (ZT15),Exercise,12
SRR8611848,0.004373109,0.082817116,0.008276854,0.010161105,0.002701432,0.027539366,Active phase (ZT15),Sedentary,12
SRR8611849,0.006692014,0.074582559,0.009943443,0.013616836,0.006156236,0.036056379,Rest phase (ZT3),Exercise,4
