Sample,Adar,Adarb1,Adarb2,Phase,treatment,zt
SRR8611839,0.012151,0.033387,0,Active phase (ZT15),Sedentary,4
SRR8611840,0.022987,0.055696,0.001546,Active phase (ZT15),Exercise,4
SRR8611841,0.037142,0.04691,0.001469,Active phase (ZT15),Sedentary,4
SRR8611842,0.029511,0.025546,0.001185,Active phase (ZT15),Exercise,8
SRR8611843,0.2105,0.378895,0.007519,Active phase (ZT15),Sedentary,8
SRR8611844,0.235095,0.406006,0.002606,Active phase (ZT15),Exercise,8
SRR8611845,0.01713,0.060091,0.003807,Active phase (ZT15),Exercise,12
SRR8611846,0.032103,0.087786,0,Active phase (ZT15),Sedentary,12
SRR8611847,0.014558,0.057847,0.001399,Active phase (ZT15),Exercise,12
SRR8611848,0.176072,0.504932,0.007393,Active phase (ZT15),Sedentary,12
SRR8611849,0.091259,0.173399,0.006735,Rest phase (ZT3),Exercise,4
SRR8611850,0.035999,0.04412,0.001821,Rest phase (ZT3),Sedentary,4
SRR8611851,0.034675,0.124313,0.005597,Rest phase (ZT3),Exercise,4
SRR8611852,0.028915,0.052054,0,Rest phase (ZT3),Sedentary,4
SRR8611853,0.019331,0.043476,0,Rest phase (ZT3),Exercise,8
SRR8611854,0.374872,0.907479,0.021566,Rest phase (ZT3),Sedentary,8
SRR8611855,0.018653,0.040066,0.002508,Rest phase (ZT3),Exercise,8
SRR8611856,0.015258,0.043722,0.001578,Rest phase (ZT3),Sedentary,8
SRR8611857,0.024687,0.033454,0.001509,Rest phase (ZT3),Exercise,12
SRR8611858,0.020013,0.05592,0.004751,Rest phase (ZT3),Sedentary,12
SRR8611859,0.01551,0.054441,0,Rest phase (ZT3),Exercise,12
SRR8611860,0.019062,0.045624,0,Rest phase (ZT3),Sedentary,12
SRR8611861,0.021926,0.068405,0,Rest phase (ZT3),Exercise,16
SRR8611862,0.075847,0.215995,0.003459,Rest phase (ZT3),Sedentary,16
SRR8611863,0.028232,0.060611,0,Rest phase (ZT3),Exercise,16
SRR8611864,0.093795,0.265069,0.008104,Rest phase (ZT3),Sedentary,16
SRR8611865,0.045836,0.162643,0,Rest phase (ZT3),Exercise,20
